ID,Username,Password,FirstName,LastName,PhoneNumber,Email,IsReviewer,IsAdmin,BufferString
21,EYavanna81,wickEt^37,Eleanor,Yavanna,304-352-7771,,1,0,
22,KFingolfin569,W(icket22,Kathryn,Fingolfin,314-924-9563,KFingolfin@everymail.biz,0,1,
23,CMandos9,wic^keT98,Camilla,Mandos,,CMandos35@bizmail.biz,0,1,
24,AMablung9,secre!tlY57,Autumn,Mablung,907-666-7568,,1,0,
25,KFerny970,rEsc)ue49,Kenneth,Ferny,859-262-3802,KFerny@bizmail.org,0,1,
26,SElrohir352,bOo#ks74,Sydney,Elrohir,262-452-8353,SElrohir32@everymail.net,0,1,
27,AGoldberry1,sp^eeD49,Ana,Goldberry,,AGoldberry76@hotmail.com,0,1,
28,ILurtz7,b*Uild82,Isaiah,Lurtz,,Isaiah.Lurtz47@mailbox.com,0,0,
29,TBeregond28,shOul$d98,Tara,Beregond,239-382-5913,TBeregond7@mail2u.com,1,1,
30,JBaggins8,coMp#uter68,Jennifer,Baggins,513-671-6167,JBaggins65@everymail.co.uk,0,0,
31,GFaramir933,secretLy#31,Gregory,Faramir,,GFaramir30@somemail.net,1,1,
32,MTook8,bUil$d05,Marie,Took,,MTook9@mailbox.net,1,1,
33,MAragorn3,a^sseRt98,Maggie,Aragorn,808-705-3840,,1,0,
34,VBolger6,interesT(80,Valerie,Bolger,205-552-0865,VBolger8@mailbox.net,0,0,
35,DFelagund84,wI)cket44,Douglas,Felagund,603-676-3756,DFelagund35@somemail.us,1,0,
36,BBarahir03,pr$oBably09,Bobby,Barahir,,BBarahir@bizmail.com,1,1,
37,WDamrod94,monSte^r20,Willie,Damrod,701-399-6481,WDamrod28@bizmail.co.uk,0,1,
38,SFinarfin92,oth#eRs72,Sara,Finarfin,231-624-2392,,0,0,
39,MRadagast99,visIons@08,Megan,Radagast,219-034-8593,,0,1,
40,KFerny16,World@20,Katrina,Ferny,225-152-9086,KFerny26@mail2u.com,0,1,
41,BImrahil526,throW!22,Benjamin,Imrahil,,BImrahil37@yahoo.net,1,1,
42,LMiriel92,nu!mbErs29,Lucas,Miriel,,Lucas.Miriel23@mailbox.com,1,0,
43,HEcthelion632,caVes@31,Helen,Ecthelion,231-388-2365,HEcthelion10@mailbox.com,0,1,
44,NTurin76,s$hoUld52,Norah,Turin,,NTurin@mail2u.net,0,0,
45,DThranduil44,l(iBrary41,Dianna,Thranduil,319-738-3082,DThranduil83@hotmail.biz,1,1,
46,NManwe728,comp$utEr60,Nathan,Manwe,210-489-3533,NManwe95@mail2u.co.uk,0,1,
47,APharazon01,thRo@w07,Ana,Pharazon,385-700-5465,Ana.Pharazon16@hotmail.org,0,1,
48,DMandos67,Library^67,Donald,Mandos,406-585-5075,Donald.Mandos@gmail.com,1,1,
49,HFerny9,a#boUt38,Helen,Ferny,406-300-5478,,0,0,
50,DBifur41,lI^ght63,Dale,Bifur,,DBifur49@bizmail.com,1,1,
51,DElrohir26,th!roW23,Delilah,Elrohir,907-461-7490,DElrohir76@yahoo.us,1,0,
52,MBombadil229,spe*Ed66,Melissa,Bombadil,201-644-6640,MBombadil12@gmail.us,1,1,
53,DMaedhros233,com@puteR26,Debra,Maedhros,205-043-4306,DMaedhros19@mailbox.org,1,1,
54,KFeanor710,piquE$50,Katherine,Feanor,218-575-8087,KFeanor10@hotmail.net,1,0,
55,BBombur8,Tre@es22,Billy,Bombur,802-097-8055,,0,1,
56,SHamfast0,Co^mputer97,Scarlet,Hamfast,208-767-9470,Scarlet.Hamfast72@mail2u.com,0,1,
57,JDeagol7,wOrd!s22,Jeffrey,Deagol,,,1,0,
58,LBeren5,computeR)21,Liv,Beren,231-603-0224,LBeren90@somemail.org,0,0,
59,RFingolfin6,ass*erT80,Russell,Fingolfin,,RFingolfin38@mail2u.co.uk,0,1,
60,EEowyn3,th@roUgh11,Ethan,Eowyn,859-748-1704,,0,1,
61,KTelchar585,capTa#in85,Kate,Telchar,,Kate.Telchar@mailbox.us,0,0,
62,JRadagast931,viSio*ns64,Joy,Radagast,206-467-2117,JRadagast34@hotmail.org,1,0,
63,JOrodreth6,de)manDed92,Jeremy,Orodreth,,JOrodreth26@mailbox.biz,1,1,
64,PNori435,Wicket*52,Philip,Nori,339-839-2896,PNori97@mailbox.net,0,0,
65,BGil-Galad454,shO%uld97,Brandon,Gil-Galad,219-183-5134,BGil-Galad19@gmail.org,0,0,
66,BSandyman35,whitE#72,Benjamin,Sandyman,316-275-3088,,0,1,
67,LStormcrow31,wi*ndoW00,Lida,Stormcrow,907-697-8824,LStormcrow95@mail2u.co.uk,1,1,
68,PMorgoth89,Asse!rt58,Patrick,Morgoth,215-581-8454,,1,0,
69,DIngwe0,secRe$tly14,Donna,Ingwe,217-658-4837,DIngwe27@yahoo.com,0,0,
70,MIdril75,wor!dS60,Magdalena,Idril,307-765-1659,MIdril12@everymail.biz,0,0,
71,EGorbag729,asSer$t24,Eileen,Gorbag,206-123-2290,EGorbag4@mailbox.us,0,1,
72,LOrome2,aSser!t30,Lida,Orome,,Lida.Orome5@gmail.co.uk,0,0,
73,EFelagund8,lIbrar$y69,Eleanor,Felagund,229-191-6949,Eleanor.Felagund21@bizmail.net,1,1,
74,JMelian06,m!onstEr05,James,Melian,,JMelian7@bizmail.org,1,1,
75,DMaeglin082,l*ibrAry13,Donna,Maeglin,316-717-1977,DMaeglin69@everymail.co.uk,0,1,
76,JShadowfax555,vIsi*ons81,Jenny,Shadowfax,,Jenny.Shadowfax71@gmail.biz,1,0,
77,MGandalf0,dEmanded)14,Marishka,Gandalf,,MGandalf53@mailbox.biz,0,0,
78,PMelkor42,baDly)01,Peter,Melkor,,Peter.Melkor15@bizmail.co.uk,1,1,
79,RGil-Galad45,wordS(24,Ruth,Gil-Galad,240-079-0517,,0,0,
80,ASulimo422,s#Peed99,Aileen,Sulimo,319-318-5423,Aileen.Sulimo77@gmail.net,0,1,
81,GFaramir22,cav$eS05,Gabriella,Faramir,206-965-6879,Gabriella.Faramir66@somemail.us,1,0,
82,EFerny272,wrIt$e95,Elijah,Ferny,231-202-1797,EFerny@mail2u.co.uk,0,0,
83,MGil-Galad2,a(skEd00,Madison,Gil-Galad,307-688-6248,MGil-Galad3@yahoo.com,0,1,
84,AOri29,Computer!33,Anabelle,Ori,215-083-5064,AOri41@mail2u.com,1,1,
85,LEomer66,capTai!n52,Louis,Eomer,479-602-1931,,1,0,
86,EIngwe99,vi!sioNs95,Emily,Ingwe,,,0,1,
87,ABombur1,isla*Nd73,Ariel,Bombur,,ABombur87@mailbox.org,0,0,
88,MIlluvatar731,vis@iOns80,Melinda,Illuvatar,217-483-9372,MIlluvatar13@gmail.net,0,1,
89,BMelkor8,sE^cretly95,Brenda,Melkor,210-675-3011,BMelkor70@mailbox.co.uk,0,0,
90,EYavanna4,intere$St01,Erik,Yavanna,210-483-9930,EYavanna41@everymail.com,1,0,
91,ESauron2,magNetic$84,Ellen,Sauron,207-876-9544,ESauron97@mail2u.org,0,0,
92,AEomer9,c#aptaIn08,Alexander,Eomer,406-829-6649,,1,0,
93,ESulimo14,Se*cretly74,Eleanor,Sulimo,201-201-0521,ESulimo96@yahoo.biz,0,1,
94,NBeregond7,l*iBrary03,Noah,Beregond,405-406-7870,Noah.Beregond69@everymail.us,1,1,
95,RFinrod8,e@nTer24,Ronald,Finrod,,RFinrod49@everymail.biz,0,1,
96,JIngwe02,lib)rAry74,Judith,Ingwe,405-720-9907,JIngwe@hotmail.org,1,0,
97,EThe White5,ligHt@45,Eileen,The White,240-175-0480,ETheWhite72@yahoo.net,1,1,
98,EFingolfin494,ass)eRt22,Ethan,Fingolfin,405-966-4621,,1,0,
99,NFinarfin6,librarY!58,Natalie,Finarfin,210-446-6584,,1,0,
100,ESandyman72,aSse(rt48,Evelyn,Sandyman,209-289-5656,ESandyman23@mailbox.net,0,0,
101,ONimrodel278,Piqu^e05,Oliver,Nimrodel,,ONimrodel@somemail.com,0,1,
102,BNesa1,reScue$18,Bailey,Nesa,,BNesa55@yahoo.org,0,0,
103,SElladan7,sho*uLd62,Sage,Elladan,307-962-9748,,0,0,
104,PYavanna305,piqU$e19,Pamela,Yavanna,,PYavanna58@yahoo.biz,0,0,
105,SGildor163,alW@ays56,Stephen,Gildor,,,0,1,
106,JAngrod54,Assert%49,Joy,Angrod,,JAngrod@mailbox.co.uk,1,1,
107,AGrahame0,unT$il25,Anthony,Grahame,479-967-5601,Anthony.Grahame32@hotmail.com,0,0,
108,BMaedhros817,l%ibrarY27,Brittany,Maedhros,480-874-0056,Brittany.Maedhros54@bizmail.org,1,1,
109,APharazon234,pIqu^e65,Allison,Pharazon,209-937-8552,APharazon@everymail.co.uk,1,1,
110,BGil-Galad125,W@indow74,Benjamin,Gil-Galad,231-500-7414,,1,0,
111,MFinwe41,haTch*02,Madison,Finwe,513-789-1723,MFinwe@gmail.org,1,0,
112,VCelebrimbor034,visio(nS67,Veronica,Celebrimbor,,,1,0,
113,HKementari3,oTh%ers58,Heather,Kementari,,Heather.Kementari40@bizmail.us,1,0,
114,FTook3,badLy@20,Freya,Took,307-141-5898,,0,0,
115,WGaladriel7,Secr@etly94,Wendy,Galadriel,385-595-6310,,1,0,
116,PValaquenta0,vIsio$ns28,Patricia,Valaquenta,907-241-6504,Patricia.Valaquenta46@mail2u.net,0,1,
117,BMorgoth723,alwa!Ys21,Brandon,Morgoth,605-109-7727,Brandon.Morgoth@bizmail.co.uk,0,1,
118,NGrahame98,lib!rarY98,Norah,Grahame,702-716-4780,,1,1,
119,SThranduil0,tryIn)g91,Sage,Thranduil,907-606-6262,SThranduil69@gmail.co.uk,0,0,
120,WFelagund5,compu)teR37,Wendy,Felagund,316-257-8977,WFelagund50@somemail.co.uk,0,0,
121,RKing73,h)Atch89,Raymond,King,201-005-5737,RKing63@everymail.us,0,0,
122,MHalbarad7,p(iQue08,Mary,Halbarad,603-346-1080,MHalbarad49@hotmail.com,1,1,
123,MThingol845,rEscue$14,Mina,Thingol,802-742-9710,MThingol51@mail2u.org,0,0,
124,HAragorn785,enTe!r92,Heather,Aragorn,215-164-5828,HAragorn53@yahoo.biz,0,1,
125,SIsildur45,sh%oUld40,Sylvia,Isildur,,SIsildur68@everymail.biz,0,1,
126,LGil-Galad0,wr*Ong30,Leah,Gil-Galad,907-327-3072,,0,0,
127,MBaggins750,mon*steR83,Megan,Baggins,240-937-3062,,1,1,
128,LDori841,eN*ding02,Lucy,Dori,401-031-1829,LDori@gmail.com,1,0,
129,NGimli234,secRetl%y81,Nancy,Gimli,203-560-6816,NGimli58@everymail.biz,1,0,
130,VButterbur3,Asse%rt75,Veronica,Butterbur,859-250-4472,VButterbur66@hotmail.co.uk,1,0,
131,RDurin79,visionS@94,Ronald,Durin,316-279-2952,RDurin@everymail.co.uk,0,0,
132,JButterbur193,m!oVed76,Joan,Butterbur,231-478-2896,JButterbur62@hotmail.org,1,1,
133,BGorbag7,A(ssert32,Brandon,Gorbag,,,1,0,
134,VDori860,liBrar(y45,Victoria,Dori,206-490-3958,VDori@yahoo.com,1,1,
135,TProudfoot34,Wi#cket51,Tina,Proudfoot,339-423-2373,TProudfoot47@hotmail.biz,0,0,
136,BPollando39,Light!44,Brandon,Pollando,,BPollando@yahoo.org,0,1,
137,LThorondor25,shoUld)75,Leah,Thorondor,218-207-1195,LThorondor18@everymail.net,1,0,
138,SHalbarad0,visI%ons08,Stephen,Halbarad,,Stephen.Halbarad44@everymail.com,0,1,
139,ECotton4,computeR*89,Emma,Cotton,505-211-2998,ECotton17@hotmail.net,0,0,
140,KStormcrow298,vi*sionS95,Kenneth,Stormcrow,,KStormcrow@yahoo.net,1,1,
141,KProudfoot763,drEams#15,Katrina,Proudfoot,423-367-3231,,1,1,
142,JEarendil616,libra$Ry36,Jacqueline,Earendil,603-095-6645,JEarendil@mail2u.net,1,0,
143,JNori4,compu)tEr39,Joyce,Nori,215-151-3355,JNori@somemail.us,0,1,
144,AUlmo5,p^iquE51,Arthur,Ulmo,907-446-7396,AUlmo@everymail.net,0,0,
145,DOrome81,vIsions^79,Dorothy,Orome,314-270-1980,DOrome@yahoo.com,0,0,
146,AKhamul5,wicKe)t44,Arthur,Khamul,209-094-1263,,1,1,
147,AAldarion3,visIons^44,Aileen,Aldarion,215-742-3160,AAldarion@bizmail.net,1,0,
148,CSauron49,visio(nS71,Christina,Sauron,319-109-8170,Christina.Sauron75@hotmail.biz,1,1,
149,AKili808,shoU#ld04,Albert,Kili,803-095-8729,AKili5@mail2u.co.uk,0,0,
150,SStormcrow738,t#hRow02,Stephanie,Stormcrow,,SStormcrow58@yahoo.biz,1,0,
151,JFinwe68,rescU*e96,Jamie,Finwe,262-246-1107,JFinwe22@mail2u.org,1,1,
152,EErkenbrand108,wickeT^35,Elijah,Erkenbrand,209-196-3763,,0,0,
153,DTelchar174,lib$rarY36,Dylan,Telchar,505-546-4114,DTelchar2@mailbox.biz,0,0,
154,VKhamul295,Comp#uter78,Valerie,Khamul,,VKhamul50@mailbox.biz,1,1,
155,MFinwe752,c*aVes67,Michaela,Finwe,303-756-9104,MFinwe24@hotmail.biz,0,1,
156,GOrodreth89,visiOn!s64,Grace,Orodreth,802-250-1861,GOrodreth58@mailbox.com,1,1,
157,PGimli36,Comp*uter91,Patricia,Gimli,907-116-5741,PGimli@hotmail.net,1,0,
158,KElrond60,su@sPense04,Kayla,Elrond,,KElrond74@bizmail.co.uk,1,1,
159,JRadagast51,aSsert^54,Janet,Radagast,802-943-5584,JRadagast1@gmail.com,1,1,
160,NImrahil5,Spee^d57,Natalie,Imrahil,,NImrahil0@hotmail.biz,0,0,
161,NTheoden35,bAdly)83,Nadine,Theoden,,NTheoden@gmail.org,1,0,
162,JEarendil2,S$idekick46,Jackson,Earendil,229-551-3494,JEarendil69@mailbox.com,1,1,
163,JHamfast224,visioN*s50,James,Hamfast,423-541-8298,JHamfast22@everymail.us,0,0,
164,KMandos125,ra)Bbit75,Katrina,Mandos,480-630-0187,Katrina.Mandos@mailbox.org,1,1,
165,VTurin175,pIq$ue01,Veronica,Turin,,VTurin50@gmail.net,0,0,
166,RButterbur4,Asse#rt66,Richard,Butterbur,207-727-3158,RButterbur22@everymail.com,1,0,
167,JAnnatar9,com(puteR33,Jade,Annatar,208-215-7817,,0,1,
168,SFili6,Badl#y51,Scarlet,Fili,406-967-6891,,1,0,
169,FHuan68,throUg%h60,Felicity,Huan,702-647-8789,,1,0,
170,JAlcarin39,lig^hT76,Joan,Alcarin,276-830-3584,Joan.Alcarin17@somemail.us,1,1,
171,DLegolas89,Bad)ly62,Daniel,Legolas,907-629-0422,Daniel.Legolas92@everymail.co.uk,0,0,
172,SEarendil2,sec@rEtly24,Shirley,Earendil,,Shirley.Earendil65@everymail.org,0,1,
173,LMaggot65,wiNd%ow00,Lucy,Maggot,308-561-1075,,0,1,
174,AVarda1,vi*sIons32,Ann,Varda,702-385-3324,AVarda@bizmail.co.uk,1,1,
175,BFelagund26,baD^ly04,Beverly,Felagund,314-322-4086,BFelagund@somemail.us,1,0,
176,DBombadil3,v*iSions78,Danica,Bombadil,208-172-2525,,0,1,
177,KFerny67,compUter#66,Karl,Ferny,701-961-8754,KFerny@somemail.co.uk,0,1,
178,GIngwe50,thrOw%22,Gerald,Ingwe,,,0,1,
179,EBalin01,asseRt*31,Elizabeth,Balin,208-655-4501,,0,1,
180,LSharku937,H$atch38,Liam,Sharku,859-893-0493,LSharku@hotmail.net,0,0,
181,KAncalagon84,wR$ite21,Katherine,Ancalagon,319-337-3792,KAncalagon@bizmail.co.uk,0,0,
182,MTreebeard4,shoUld(23,Megan,Treebeard,808-985-6096,,0,1,
183,KMaggot9,hatcH#58,Kenneth,Maggot,808-856-6953,,0,1,
184,JButterbur328,coM)puter69,Juliet,Butterbur,,JButterbur@mail2u.biz,0,0,
185,EBombur0,Sec@retly76,Elijah,Bombur,,Elijah.Bombur@everymail.biz,1,0,
186,KNazgul0,shO$uld44,Kelly,Nazgul,,,0,0,
187,TManwe5,shoUl@d25,Timothy,Manwe,208-104-8840,TManwe10@gmail.com,0,0,
188,LCurufin60,li^bRary60,Lara,Curufin,207-586-0797,Lara.Curufin23@everymail.co.uk,1,0,
189,EGandalf055,wickE(t35,Elijah,Gandalf,701-526-3131,Elijah.Gandalf78@bizmail.us,1,0,
190,TMithrandir17,Comp(uter74,Teresa,Mithrandir,406-998-4838,,0,0,
191,AFili592,probaBl(y78,Alice,Fili,231-072-2104,AFili71@mail2u.biz,0,0,
192,MHuan964,aSked@94,Matthew,Huan,314-060-5067,MHuan@everymail.biz,0,1,
193,JCurufin31,s@Uspense52,Jewel,Curufin,262-943-4471,,1,0,
194,AShagrat9,libraR(y37,Angelique,Shagrat,,,1,1,
195,DDurin346,moveD@04,Dana,Durin,,,1,1,
196,AMandos00,Com!puter29,Austin,Mandos,225-247-5792,AMandos10@yahoo.org,1,1,
197,ANimrodel049,rab!bIt55,Alexis,Nimrodel,,ANimrodel59@mailbox.net,0,0,
198,DCirdan822,Monste(r71,Delilah,Cirdan,225-892-4265,Delilah.Cirdan31@everymail.us,0,1,
199,DErkenbrand37,wicke#T93,Douglas,Erkenbrand,201-393-0582,DErkenbrand@gmail.org,0,0,
200,JNori8,librar!Y15,Jade,Nori,,,0,1,
201,JTheoden1,lI*brary88,Jane,Theoden,,JTheoden97@yahoo.biz,1,1,
202,LThe Brown407,ab(Out89,Lilly,The Brown,205-300-9193,,0,1,
203,AMelian1,thRou@gh39,Austin,Melian,458-129-0187,,0,0,
204,JGimli4,se$cretlY89,Josie,Gimli,,JGimli15@everymail.co.uk,0,0,
205,FKhamul69,badl*Y96,Frances,Khamul,208-372-5571,,0,0,
206,STuor2,lib)rarY63,Sean,Tuor,458-376-9712,,0,0,
207,LElladan378,liB%rary44,Louis,Elladan,,LElladan@hotmail.biz,0,1,
208,RElfhelm4,worLd)89,Ralph,Elfhelm,702-330-2968,,0,0,
209,AEru07,comp(Uter13,Autumn,Eru,,AEru20@yahoo.net,0,1,
210,ROlorin2,Captai$n58,Richard,Olorin,303-056-5117,ROlorin57@bizmail.org,1,1,
211,DBeren9,isL@and55,Donna,Beren,405-849-0028,DBeren61@hotmail.net,0,0,
212,KKing871,asser(T46,Kevin,King,,,0,1,
213,AFeanor622,lIgh)t23,Aaron,Feanor,252-592-9366,AFeanor50@hotmail.com,1,1,
214,MWillow9,dreAm^s74,Melanie,Willow,603-636-5133,Melanie.Willow85@everymail.us,0,0,
215,DBolger95,aSs^ert61,Danica,Bolger,,DBolger51@hotmail.us,1,0,
216,MElfhelm463,wAit(ed65,Michaela,Elfhelm,262-434-9689,MElfhelm@yahoo.co.uk,1,0,
217,IBombur4,visiO*ns09,Isaiah,Bombur,228-480-4540,IBombur88@gmail.org,0,1,
218,NShadowfax3,sm^okE38,Norah,Shadowfax,603-498-4068,NShadowfax38@hotmail.org,1,1,
219,AElrond99,e^ntEr42,Alicia,Elrond,423-109-7143,AElrond30@bizmail.us,1,0,
220,JOrodreth47,D%emanded86,Jamie,Orodreth,,Jamie.Orodreth@somemail.com,1,0,
221,GNimrodel01,caPtain@18,Grace,Nimrodel,513-882-1933,GNimrodel14@everymail.us,0,1,
222,ODeagol42,shOu*ld96,Oliver,Deagol,209-338-7784,ODeagol63@yahoo.co.uk,1,1,
223,SOrodreth02,liG!ht66,Susan,Orodreth,314-683-1210,Susan.Orodreth31@bizmail.us,0,0,
224,JErkenbrand075,a%ssErt06,Joseph,Erkenbrand,205-129-4771,,1,1,
225,WKili4,viSi!ons98,Wayne,Kili,701-994-0030,WKili18@mail2u.com,1,0,
226,DElladan62,sPeed%17,Doris,Elladan,505-055-8103,DElladan11@hotmail.co.uk,1,1,
227,VLuthien89,v*isIons19,Valerie,Luthien,,VLuthien40@mailbox.biz,0,0,
228,SAlatar40,wIndo@w27,Sage,Alatar,,SAlatar10@mailbox.us,1,0,
229,MMelkor69,shou)Ld07,Mina,Melkor,401-788-7302,Mina.Melkor82@bizmail.biz,1,1,
230,VIsildur4,dEman)ded52,Valerie,Isildur,276-184-2004,VIsildur64@gmail.co.uk,0,0,
231,DFinwe3,End%ing50,Dennis,Finwe,808-526-3651,DFinwe79@somemail.co.uk,0,0,
232,IUngoliant09,secreTly)45,Ivy,Ungoliant,319-289-7623,IUngoliant45@gmail.org,1,1,
233,BMorgoth687,pl^anE24,Bryant,Morgoth,339-220-8434,BMorgoth72@gmail.biz,1,1,
234,AErestor0,cOm^puter25,Amy,Erestor,,AErestor83@everymail.biz,0,1,
235,JNienna460,askE#d93,Judith,Nienna,231-902-1261,Judith.Nienna@everymail.org,1,1,
236,JSmeagol0,li*Ght55,Jacob,Smeagol,215-593-2806,Jacob.Smeagol79@hotmail.co.uk,1,0,
237,APollando030,Wind^ow80,Abigail,Pollando,701-447-4571,APollando44@mail2u.co.uk,0,0,
238,PQuickbeam4,a%ssErt38,Peter,Quickbeam,406-879-5593,,1,1,
239,EThe Brown384,T*hrow44,Ellen,The Brown,218-123-8628,ETheBrown99@bizmail.net,1,0,
240,HPollando51,secr*etlY92,Heidi,Pollando,,HPollando13@mailbox.org,1,0,
241,JFingolfin83,inte!Rest18,Joan,Fingolfin,458-953-2376,Joan.Fingolfin46@mail2u.org,0,1,
242,PBaggins77,M@onster19,Peter,Baggins,385-740-1560,,1,0,
243,LMelian6,l*ibrAry02,Liam,Melian,304-575-5360,LMelian@yahoo.com,0,1,
244,WUlmo3,coM%puter66,Wendy,Ulmo,209-388-2830,WUlmo20@gmail.us,0,0,
245,AAlatar9,sEcret@ly12,April,Alatar,859-636-4805,AAlatar98@mail2u.co.uk,1,1,
246,AStormcrow765,num!berS91,Alexis,Stormcrow,,Alexis.Stormcrow35@mail2u.com,1,1,
247,JNienna5,whilE@66,Jessie,Nienna,,JNienna29@mail2u.co.uk,0,0,
248,PElfhelm802,vision)S15,Pamela,Elfhelm,,PElfhelm92@hotmail.net,0,0,
249,MGil-Galad036,i@slAnd24,Mitch,Gil-Galad,218-616-6874,,1,0,
250,CPharazon781,C*omputer20,Carol,Pharazon,215-296-1296,CPharazon@gmail.co.uk,0,1,
251,JOakenshield5,compuTer%31,Josie,Oakenshield,308-260-7668,JOakenshield31@hotmail.co.uk,0,0,
252,AAngrod26,a#sserT51,Annabella,Angrod,,AAngrod@yahoo.co.uk,1,0,
253,FThorondor1,e!nTer02,Freya,Thorondor,219-851-9081,Freya.Thorondor17@everymail.com,0,0,
254,TErkenbrand8,shOul!d82,Tina,Erkenbrand,859-375-4903,,0,1,
255,MGandalf7,rEs#cue43,Michaela,Gandalf,316-159-5555,MGandalf43@gmail.us,1,1,
256,JDenethor398,ligH@t61,Jennifer,Denethor,203-880-7016,JDenethor90@bizmail.co.uk,1,0,
257,JValaquenta3,vis$ionS41,Jose,Valaquenta,314-279-7435,JValaquenta97@bizmail.net,0,0,
258,KSandyman79,asSe^rt19,Kelly,Sandyman,,KSandyman74@mailbox.net,0,0,
259,DLegolas143,com!puteR46,Daniel,Legolas,203-678-9853,Daniel.Legolas@bizmail.biz,0,0,
260,CHamfast16,speeD$81,Charles,Hamfast,458-799-8941,CHamfast33@bizmail.biz,1,1,
261,DTelchar0,M$agnetic37,Donald,Telchar,,DTelchar46@mail2u.biz,0,1,
262,RBofur029,rescUe$90,Rebecca,Bofur,808-593-6380,,1,0,
263,JEcthelion6,coM^puter19,Jenny,Ecthelion,479-416-4028,JEcthelion35@mail2u.us,0,1,
264,RHuan9,enDing)61,Rachel,Huan,480-066-5473,,0,0,
265,SDurin3,comp%uteR76,Shelby,Durin,209-428-2575,Shelby.Durin@somemail.net,0,0,
266,HTreebeard2,intE@rest27,Henry,Treebeard,,HTreebeard75@mailbox.co.uk,0,0,
267,AMorgoth373,lIbrary)85,Angelique,Morgoth,701-267-3867,AMorgoth@yahoo.us,1,1,
268,KAragorn55,visioN!s25,Keith,Aragorn,,KAragorn94@mail2u.org,1,0,
269,EIlluvatar21,badLy!01,Eva,Illuvatar,229-297-8721,EIlluvatar58@mailbox.org,0,0,
270,JKing20,sec^Retly75,Jessie,King,,,0,0,
271,JGimli622,l$ighT59,Jessie,Gimli,210-577-7096,Jessie.Gimli2@mailbox.com,1,0,
272,EWormtongue24,seC!retly88,Ellie,Wormtongue,480-961-6997,Ellie.Wormtongue@mailbox.org,0,0,
273,HManwe25,ab^oUt25,Henry,Manwe,603-330-3460,Henry.Manwe53@somemail.us,0,1,
274,SImrahil4,com$puTer98,Sharon,Imrahil,209-129-4234,SImrahil54@yahoo.net,0,1,
275,AShagrat45,sec!rEtly70,Abby,Shagrat,205-491-1073,,0,0,
276,JCurufin477,secr$etlY18,Jamie,Curufin,,Jamie.Curufin48@everymail.co.uk,1,0,
277,JOrodreth365,Res*cue57,Jack,Orodreth,401-624-2396,,1,0,
278,APharazon1,Lig)ht51,Adrianna,Pharazon,203-020-4336,APharazon91@mail2u.us,1,1,
279,KAmrod9,s)ecreTly85,Katie,Amrod,803-761-6273,KAmrod0@yahoo.org,0,0,
280,ITulkas340,Rabbit$66,Isaiah,Tulkas,907-586-2204,ITulkas29@mail2u.biz,0,1,
281,AFeanor7,Ass*ert40,Amy,Feanor,206-230-3390,AFeanor@bizmail.us,0,1,
282,RMelian2,viSio^ns65,Raven,Melian,,,1,0,
283,MAldarion36,librA@ry46,Mina,Aldarion,803-429-7232,MAldarion29@yahoo.biz,1,1,
284,BIlluvatar348,susPens%e37,Bryant,Illuvatar,,BIlluvatar@bizmail.net,0,1,
285,ATreebeard8,pRobab#ly18,Abby,Treebeard,203-202-5527,Abby.Treebeard28@somemail.com,0,1,
286,QNimrodel6,secret^Ly68,Quinn,Nimrodel,304-117-4642,,1,0,
